# MIDI File: MIDI-Viva la vida.mid
# Tempo: 120.0 BPM
# Duration: 262.77 seconds
# Total Notes: 2579
# Tracks: 2

# Format: TIME_SEC | NOTE | DURATION | VELOCITY
# ==================================================

   0.000 | C#5  | 0.236s | vel= 80
   0.000 | G#4  | 0.236s | vel= 80
   0.000 | C#4  | 0.236s | vel= 80
   0.000 | G#3  | 0.236s | vel= 80
   0.000 | C#3  | 0.236s | vel= 80
   0.500 | C#5  | 0.236s | vel= 80
   0.500 | G#4  | 0.236s | vel= 80
   0.500 | C#4  | 0.236s | vel= 80
   0.500 | G#3  | 0.236s | vel= 80
   0.500 | C#3  | 0.236s | vel= 80
   1.000 | C#5  | 0.236s | vel= 80
   1.000 | G#4  | 0.236s | vel= 80
   1.000 | C#4  | 0.236s | vel= 80
   1.000 | G#3  | 0.236s | vel= 80
   1.000 | C#3  | 0.236s | vel= 80
   1.500 | C#5  | 0.236s | vel= 80
   1.500 | G#4  | 0.236s | vel= 80
   1.500 | C#4  | 0.236s | vel= 80
   1.500 | G#3  | 0.236s | vel= 80
   1.500 | C#3  | 0.236s | vel= 80
   1.750 | C#5  | 0.236s | vel= 80
   1.750 | G#4  | 0.236s | vel= 80
   1.750 | D#4  | 0.236s | vel= 80
   1.750 | A#3  | 0.236s | vel= 80
   1.750 | D#3  | 0.236s | vel= 80
   2.250 | C#5  | 0.236s | vel= 80
   2.250 | G#4  | 0.236s | vel= 80
   2.250 | D#4  | 0.236s | vel= 80
   2.250 | A#3  | 0.236s | vel= 80
   2.250 | D#3  | 0.236s | vel= 80
   2.750 | C#5  | 0.236s | vel= 80
   2.750 | G#4  | 0.236s | vel= 80
   2.750 | D#4  | 0.236s | vel= 80
   2.750 | A#3  | 0.236s | vel= 80
   2.750 | D#3  | 0.236s | vel= 80
   3.000 | C#5  | 0.236s | vel= 80
   3.000 | G#4  | 0.236s | vel= 80
   3.000 | D#4  | 0.236s | vel= 80
   3.000 | A#3  | 0.236s | vel= 80
   3.000 | D#3  | 0.236s | vel= 80
   3.500 | C#5  | 0.236s | vel= 80
   3.500 | G#4  | 0.236s | vel= 80
   3.500 | D#4  | 0.236s | vel= 80
   3.500 | A#3  | 0.236s | vel= 80
   3.500 | D#3  | 0.236s | vel= 80
   4.000 | C5   | 0.236s | vel= 80
   4.000 | G#4  | 0.236s | vel= 80
   4.000 | C4   | 0.236s | vel= 80
   4.000 | G#3  | 0.236s | vel= 80
   4.000 | D#3  | 0.236s | vel= 80
   4.500 | C5   | 0.236s | vel= 80
   4.500 | G#4  | 0.236s | vel= 80
   4.500 | C4   | 0.236s | vel= 80
   4.500 | G#3  | 0.236s | vel= 80
   4.500 | D#3  | 0.236s | vel= 80
   5.000 | C5   | 0.236s | vel= 80
   5.000 | G#4  | 0.236s | vel= 80
   5.000 | C4   | 0.236s | vel= 80
   5.000 | G#3  | 0.236s | vel= 80
